date,trades,turnover (ZiG),market cap (ZiG),foreign buys (ZiG), foreign sells (ZiG),,,,
29 05 2024,87,312742.89,29851988055,341,2080.85,,,,
30 05 2024,162,380840.78,29227307986,1954.6,2376.5,,,,
31 05 2024,109,2698171.04,29394993352,4760,33.95,,,,
04 06 2024,201,4668870.39,31003266940,1869,1425.9,,,,
05 06 2024,165,2477011.54,30986266736,1629.6,191.25,,,,
06 06 2024,2565546.07,2300.25,1053639.3,101,31513497072,2186927.75,,,
07 06 2024,31081935768,15232,94,6000,2481715.06,181,,,
10 06 2024,31081935768,450492.85,689149.75,,,,,,
10 06 2024,181,2481715.06,31081935768,450492.85,689149.75,,,,
11 06 2024,31073374506,277950,215575,181,2601686.11,,,,
12 06 2024,7432014.94,5027.4,5197301.04,127,31068304536,,,,
,,,,,,,,,
13 06 2024,32152471378,2626402.5,137,7748394.21,2724000,,,,
14 06 2024,32348546459,733404,1024,3386950.49,113,,,,
14 06 2024,113,3386950.49,32348546459,733404,1024,2406103.77,32488003532,0,0
17 06 2024,134,,,,,,,,
18 06 2024,164,624909.83,32864114903,507.3,885.3,,,,
19 06 2024,149,1404135.3,33469448732,248437,0,,,,

2024-6-19,149,1404135.30,33469448732.03,248437.00,0.00
